Host_Time_s,Raw_Data_Line
1765390601.332032,2233
1765390601.335264,2052
1765390601.335323,1877
1765390601.364079,1737
1765390601.364412,1636
1765390601.364457,1455
1765390601.394145,1261
1765390601.394386,1210
1765390601.394432,1090
1765390601.423439,940
1765390601.423575,899
1765390601.423853,829
1765390601.451558,786
1765390601.453247,652
1765390601.453289,597
1765390601.481725,560
1765390601.483305,570
1765390601.483346,461
1765390601.511593,447
1765390601.513359,474
1765390601.513375,466
1765390601.541613,353
1765390601.543293,305
1765390601.543335,304
1765390601.572161,329
1765390601.575341,263
1765390601.575519,233
1765390601.603505,279
1765390601.603727,232
1765390601.604020,247
1765390601.631552,228
1765390601.633358,235
1765390601.633402,127
1765390601.661538,159
1765390601.663460,192
1765390601.663503,176
1765390601.691314,178
1765390601.693640,209
1765390601.693686,108
1765390601.723475,104
1765390601.723519,155
1765390601.723869,104
1765390601.751859,58
1765390601.753275,106
1765390601.753316,101
1765390601.781565,77
1765390601.783441,122
1765390601.783473,110
1765390601.813544,90
1765390601.813898,166
1765390601.813951,86
1765390601.841836,164
1765390601.843274,167
1765390601.843304,216
1765390601.871548,224
1765390601.873437,243
1765390601.873470,271
1765390601.901572,375
1765390601.903419,413
1765390601.903450,394
1765390601.931535,454
1765390601.933384,472
1765390601.933413,543
1765390601.962218,534
1765390601.965366,581
1765390601.965452,666
1765390601.994181,735
1765390601.994229,699
1765390601.994530,757
1765390602.023449,789
1765390602.023498,840
1765390602.023734,844
1765390602.051550,823
1765390602.053317,901
1765390602.053366,1065
1765390602.081928,1057
1765390602.085301,1102
1765390602.085350,1204
1765390602.113503,1310
1765390602.113538,1305
1765390602.113773,1455
